match_team_id,match_id,defending_team,zone,squad_size,raw_involvement,raw_involvement_density,raw_involvement_gini,raw_involvement_cc_unweighted,raw_involvement_cc_weighted,raw_involvement_centralization,raw_involvement_centralization_weighted,raw_involvement_assortativity,raw_involvement_kcore_max,raw_involvement_lcc_ratio,raw_fault,raw_fault_density,raw_fault_gini,raw_fault_cc_unweighted,raw_fault_cc_weighted,raw_fault_centralization,raw_fault_centralization_weighted,raw_fault_assortativity,raw_fault_kcore_max,raw_fault_lcc_ratio,raw_contribution,raw_contribution_density,raw_contribution_gini,raw_contribution_cc_unweighted,raw_contribution_cc_weighted,raw_contribution_centralization,raw_contribution_centralization_weighted,raw_contribution_assortativity,raw_contribution_kcore_max,raw_contribution_lcc_ratio,valued_involvement,valued_involvement_density,valued_involvement_gini,valued_involvement_cc_unweighted,valued_involvement_cc_weighted,valued_involvement_centralization,valued_involvement_centralization_weighted,valued_involvement_assortativity,valued_involvement_kcore_max,valued_involvement_lcc_ratio,valued_contribution,valued_contribution_density,valued_contribution_gini,valued_contribution_cc_unweighted,valued_contribution_cc_weighted,valued_contribution_centralization,valued_contribution_centralization_weighted,valued_contribution_assortativity,valued_contribution_kcore_max,valued_contribution_lcc_ratio,valued_fault,valued_fault_density,valued_fault_gini,valued_fault_cc_unweighted,valued_fault_cc_weighted,valued_fault_centralization,valued_fault_centralization_weighted,valued_fault_assortativity,valued_fault_kcore_max,valued_fault_lcc_ratio
3812_366,3812,366,high_press,15,77.74496584830415,0.580952380952381,0.2169199447009591,0.763682745825603,0.24304797045159934,0.2948717948717949,0.4275575908345754,-0.1349069748381255,6,1.0,71.46545000554143,0.580952380952381,0.2151981969139356,0.763682745825603,0.27292454964112334,0.2948717948717949,0.4100351447115426,-0.1349069748381255,6,1.0,6.279515842762711,0.13333333333333333,0.30970224561903525,0.34848484848484845,0.2191970009039441,0.17777777777777778,0.5811759874910419,-0.09803921568627605,2,1.0,0.2687095658884609,0.580952380952381,0.28142372690843565,0.763682745825603,0.15205466522033292,0.2948717948717949,0.6361958834887474,-0.1349069748381255,6,1.0,0.004227959236695661,0.13333333333333333,0.30323659343761245,0.34848484848484845,0.14024123326231486,0.17777777777777778,0.5757245871914218,-0.09803921568627605,2,1.0,0.2644816066517648,0.5714285714285714,0.2852656441580794,0.7638012780869924,0.15276193624049778,0.3076923076923077,0.6371773938177535,-0.16273528710984222,6,1.0
3812_366,3812,366,mid,15,172.88110836302073,0.6952380952380952,0.3827046863144723,0.7950257150257151,0.18442426097531583,0.2692307692307692,0.6638035841918953,-0.12194771617351166,8,1.0,129.50205017574706,0.5904761904761905,0.313653177869349,0.8788655788655788,0.2225274526668555,0.24242424242424246,0.6329548387395367,-0.19414483821264647,8,1.0,43.37905818727366,0.6,0.36278468529124464,0.7753823953823954,0.1720530768355397,0.29670329670329665,0.6109657075840085,-0.17619603267211123,8,1.0,2.13074489313082,0.6952380952380952,0.416162207400264,0.7950257150257151,0.14259205613646442,0.2692307692307692,0.6901865700218489,-0.12194771617351166,8,1.0,0.26329920621754055,0.6,0.3462472648654853,0.7753823953823954,0.1954723424704227,0.29670329670329665,0.6133370112472076,-0.17619603267211123,8,1.0,1.867445686913277,0.5904761904761905,0.3492315827051473,0.8788655788655788,0.17290469163150102,0.24242424242424246,0.6551098564813134,-0.19414483821264647,8,1.0
3812_366,3812,366,own,15,230.28890420154198,0.5523809523809524,0.3826614096460992,0.868009768009768,0.11943692297182504,0.3030303030303031,0.6027398753852382,-0.3170271545044159,8,1.0,154.6705351763536,0.5238095238095238,0.40111556708922125,0.8724109224109224,0.11835220866748154,0.25,0.6325656008613656,-0.25743237584791656,8,1.0,75.61836902518836,0.45714285714285713,0.35943153368735903,0.810989010989011,0.16264629586981388,0.356060606060606,0.6070365017515449,-0.3292053663570691,6,1.0,3.385700956744707,0.5428571428571428,0.4056870871438536,0.8640970140970141,0.14602071429556168,0.31818181818181823,0.6306743529878976,-0.3037829058672251,8,1.0,1.1887483972545678,0.45714285714285713,0.37379790022367243,0.810989010989011,0.1617581977472491,0.356060606060606,0.5820381932534027,-0.3292053663570691,6,1.0,2.1969525594901373,0.5047619047619047,0.43178411480303835,0.8648462648462648,0.1525681189080104,0.28030303030303033,0.6538404144981044,-0.23698384201077335,8,1.0
3812_372,3812,372,high_press,15,120.87324361536768,0.4857142857142857,0.34160104194944485,0.8564824064824065,0.19015581602902681,0.4090909090909091,0.5782324965048432,-0.12096466458062946,7,1.0,105.58601939952618,0.4857142857142857,0.3283771977548864,0.8564824064824065,0.2185848741133406,0.4090909090909091,0.561436097564851,-0.12096466458062946,7,1.0,15.287224215841498,0.19047619047619047,0.4620218436732677,0.6541125541125541,0.15770634959529709,0.41111111111111115,0.72022264018544,-0.16222760290556976,3,1.0,0.5333043409241071,0.4857142857142857,0.3575703951260314,0.8564824064824065,0.1937017453730126,0.4090909090909091,0.6137398305708099,-0.12096466458062946,7,1.0,0.014474320705936,0.19047619047619047,0.4126324357857907,0.6541125541125541,0.13271787167606802,0.41111111111111115,0.7204357164309895,-0.16222760290556976,3,1.0,0.5188300202181706,0.47619047619047616,0.3640864596256681,0.8491119991119991,0.19393907047720857,0.42424242424242425,0.6109294878745202,-0.10353781239857252,7,1.0
3812_372,3812,372,mid,15,258.6884396751905,0.6761904761904762,0.3598000933745813,0.8727863406434835,0.18194627178037823,0.2564102564102564,0.6083034346546883,-0.2377756024798379,9,1.0,216.08247259614132,0.6761904761904762,0.34851893534560485,0.8727863406434835,0.17942413217567732,0.2564102564102564,0.6025777648403723,-0.2377756024798379,9,1.0,42.60596707904914,0.38095238095238093,0.3876725298541064,0.7165168165168165,0.18564427913480516,0.5757575757575758,0.6228713482429015,-0.33453561767358014,5,1.0,2.2271060440317614,0.6666666666666666,0.3290231894944229,0.8580621759193188,0.15458441110904017,0.2692307692307692,0.6597437626069357,-0.23387493845396315,8,1.0,0.1984865977942718,0.38095238095238093,0.3518974255751379,0.7165168165168165,0.20701783995080708,0.5757575757575758,0.6470703299039225,-0.33453561767358014,5,1.0,2.0286194462374874,0.6571428571428571,0.3278528963991125,0.8544760794760794,0.1572071720531807,0.282051282051282,0.6580445306336912,-0.19933833954734953,8,1.0
3812_372,3812,372,own,15,182.794087564405,0.6666666666666666,0.38801159712825406,0.8214881414881414,0.17082486129701482,0.38461538461538464,0.7126477402778961,-0.33251016103308334,7,1.0,130.12701554976672,0.638095238095238,0.386508201927672,0.8184337884337884,0.18393243540380574,0.4175824175824176,0.6842655655952143,-0.32355093081863107,7,1.0,52.66707201463824,0.47619047619047616,0.38152419806994997,0.7989054596197454,0.22774032402645503,0.5256410256410257,0.7508047722948737,-0.43149284253578646,6,1.0,3.3343881072845507,0.6666666666666666,0.42366023587364054,0.8214881414881414,0.13409773679313985,0.38461538461538464,0.7057144537647043,-0.33251016103308334,7,1.0,0.8538591234406151,0.47619047619047616,0.4048479724701215,0.7989054596197454,0.1792455285469042,0.5256410256410257,0.704032718651098,-0.43149284253578646,6,1.0,2.4805289838439335,0.638095238095238,0.4336759842735398,0.8184337884337884,0.13883506848420846,0.4175824175824176,0.6979664476535967,-0.32355093081863107,7,1.0
3813_50,3813,50,high_press,16,129.246898008943,0.6083333333333333,0.317249158727235,0.8677318977318978,0.1642084808940734,0.3516483516483517,0.5883183898652009,-0.26557107205437425,8,1.0,120.48206637802222,0.6083333333333333,0.3136048286547093,0.8677318977318978,0.19427828134577882,0.3516483516483517,0.5777108693493876,-0.26557107205437425,8,1.0,8.764831630920767,0.13333333333333333,0.28762110039807354,0.5566666666666666,0.149533628257152,0.38888888888888884,0.5475580249055978,0.011093502377179081,4,0.8,0.63794210609926,0.6083333333333333,0.3493880372258775,0.8677318977318978,0.17922034926065727,0.3516483516483517,0.6503271826851296,-0.26557107205437425,8,1.0,0.008135761463496649,0.13333333333333333,0.4619086754320223,0.5566666666666666,0.2246211462434334,0.38888888888888884,0.7202449975381235,0.011093502377179081,4,0.8,0.6298063446357625,0.6083333333333333,0.3493218369307216,0.8677318977318978,0.17643003180102995,0.3516483516483517,0.6567486278328096,-0.26557107205437425,8,1.0
3813_50,3813,50,mid,16,188.0954165294387,0.6166666666666667,0.33530986075241564,0.833969733969734,0.127404580934999,0.34065934065934067,0.7159107878618047,-0.208324968212541,8,1.0,147.2122212945422,0.5916666666666667,0.32860158078441826,0.820981610981611,0.14609560135681424,0.3736263736263737,0.7100016352109239,-0.2743435371265443,7,1.0,40.88319523489649,0.375,0.41115497200113493,0.7028282828282829,0.14983263324460913,0.49450549450549447,0.7359447660589106,-0.16015172945866024,5,1.0,1.7660177654284661,0.6166666666666667,0.3305269001116333,0.833969733969734,0.14694849891311,0.34065934065934067,0.7117272308286011,-0.208324968212541,8,1.0,0.2697709269654995,0.375,0.5110954463276705,0.7028282828282829,0.11599692290099398,0.49450549450549447,0.8037406945248095,-0.16015172945866024,5,1.0,1.4962468384629646,0.5916666666666667,0.31046280032148665,0.820981610981611,0.18333444186610454,0.3736263736263737,0.6897351533339002,-0.2743435371265443,7,1.0
3813_50,3813,50,own,16,108.04916717889454,0.525,0.42592444678454333,0.8731974374831518,0.13775451939184766,0.358974358974359,0.7242915997937794,-0.33508956796628037,8,1.0,90.08749204340302,0.5,0.36205128241982876,0.8883116883116884,0.174593474444707,0.27272727272727276,0.6630444860370505,-0.3079419508909495,8,1.0,17.961675135491504,0.20833333333333334,0.44585979223632854,0.8073593073593074,0.22292345083344953,0.6666666666666666,0.7852493255247686,-0.41309204647006265,4,1.0,3.175865360790856,0.525,0.3792698381811541,0.8731974374831518,0.2085176066967342,0.358974358974359,0.6745988821851366,-0.33508956796628037,8,1.0,0.258899022870955,0.20833333333333334,0.45175685961263357,0.8073593073593074,0.23640744754499846,0.6666666666666666,0.772283525261909,-0.41309204647006265,4,1.0,2.9169663379198996,0.5,0.3193268646185443,0.8883116883116884,0.25487204411141196,0.27272727272727276,0.6222619941450729,-0.3079419508909495,8,1.0
3813_373,3813,373,high_press,17,216.56740593714395,0.5,0.47318864683871253,0.8276708476708478,0.09745468728923384,0.40659340659340665,0.7993364056186346,-0.38791107514554724,7,1.0,183.68328157467158,0.49264705882352944,0.4737821818433132,0.824957264957265,0.10880386456606723,0.4175824175824176,0.7889243350669829,-0.37922212050794374,7,1.0,32.884124362472406,0.25,0.3942409202635646,0.7844576719576719,0.145225172393434,0.47272727272727283,0.8024904700981675,-0.4473004215966262,5,1.0,0.5388300656704538,0.5,0.4304572666113713,0.8276708476708478,0.1297245046304832,0.40659340659340665,0.7653942333173291,-0.38791107514554724,7,1.0,0.03005969409325491,0.25,0.46777634525407596,0.7844576719576719,0.10756319872585314,0.47272727272727283,0.8453087757574949,-0.4473004215966262,5,1.0,0.5087703715771972,0.49264705882352944,0.4267155842844721,0.824957264957265,0.14320308963060344,0.4175824175824176,0.7554193209242809,-0.37922212050794374,7,1.0
