metric_family,node_metric,outcome,kind,min,average,sum,product,r_range_trio,r_range_all
Total Strength,raw_contribution,shots_against,raw,+0.46***,+0.46***,+0.46***,+0.45***,0.0052051988558206586,0.011948267661478051
Total Strength,raw_contribution,shots_against,partial,+0.19*,+0.19*,+0.19*,+0.19*,0.003924026675937747,0.004898505435501466
Total Strength,raw_contribution,xg_against,raw,+0.37***,+0.38***,+0.38***,+0.37***,0.005263497679540041,0.011128172915579881
Total Strength,raw_contribution,xg_against,partial,+0.25**,+0.26**,+0.26**,+0.24**,0.011678972256088549,0.023181786768051077
Gini (strength inequality),raw_contribution,goals_against,raw,-0.02,-0.01,-0.01,-0.00,0.0038130158260213202,0.017002305955355543
Gini (strength inequality),raw_contribution,goals_against,partial,-0.05,-0.05,-0.05,-0.03,0.0013200949445150365,0.024862531178798167
Gini (strength inequality),raw_contribution,shots_against,raw,-0.03,-0.03,-0.03,-0.05,0.0009593628783738546,0.01879264193949326
Gini (strength inequality),raw_contribution,shots_against,partial,-0.13,-0.13,-0.13,-0.13,0.006011804155473699,0.006011804155473699
Gini (strength inequality),raw_contribution,xg_against,raw,-0.11,-0.11,-0.11,-0.11,0.0005967479409636212,0.005679540517727552
Gini (strength inequality),raw_contribution,xg_against,partial,-0.17*,-0.18*,-0.18*,-0.16,0.005185545477419756,0.023239862268502637
Clustering (weighted),raw_contribution,goals_against,raw,-0.02,-0.01,-0.01,-0.04,0.002920743861984959,0.02737496095243732
Clustering (weighted),raw_contribution,goals_against,partial,+0.04,+0.06,+0.06,+0.01,0.01145055638096041,0.05097756948509577
Clustering (weighted),raw_contribution,shots_against,raw,+0.02,+0.02,+0.02,+0.02,0.0004289158633040517,0.0050758185195461
Clustering (weighted),raw_contribution,shots_against,partial,+0.19*,+0.21*,+0.21*,+0.16,0.022958113447455186,0.056591926744097604
Clustering (weighted),raw_contribution,xg_against,raw,+0.08,+0.05,+0.05,+0.05,0.031158974059297274,0.031158974059297274
Clustering (weighted),raw_contribution,xg_against,partial,+0.19*,+0.17,+0.17,+0.14,0.019496199510002532,0.05531953557756944
