match_id,defending_team,team_name,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y,match_team_id,raw_involvement_self_inv,raw_fault_self_inv,raw_contribution_self_inv,valued_involvement_self_inv,valued_contribution_self_inv,valued_fault_self_inv,raw_responsibility_self_inv,raw_fault_r_self_inv,raw_contribution_r_self_inv,valued_responsibility_self_inv,valued_contribution_r_self_inv,valued_fault_r_self_inv,starter
3812,372,Senegal,home,13055,Nicolas Jackson,106,1.554349057,-14.36967925,21,5.909238095,-19.06514286,9,3.367777778,-21.06666667,12,7.815333333,-17.564,20,6.7552,-18.80655,9,3.367777778,-21.06666667,11,9.526727273,-16.95736364,3812_372,2.54134531,0.958357988,1.582987321,0.033577797,0.023443228,0.010134568,0,0,0,0,0,0,0
3812,372,Senegal,home,13228,Youssouf Sabaly,480,14.5820125,-14.84696042,72,13.036625,-20.97247222,34,16.76652941,-21.09029412,38,9.699342105,-20.86705263,69,13.72431884,-21.58668116,34,16.76652941,-21.09029412,35,10.76902857,-22.06888571,3812_372,7.547450969,0,7.547450969,0.273392519,0.273392519,0,0,0,0,0,0,0,1
3812,372,Senegal,home,13901,Pape Abou Cissé,480,18.93484792,4.87004375,50,22.8018,8.39244,17,23.59323529,8.432647059,33,22.39409091,8.371727273,49,23.25091837,8.35622449,17,23.59323529,8.432647059,32,23.0690625,8.315625,3812_372,4,0,4,0.09873908,0.09873908,0,0,0,0,0,0,0,1
3812,372,Senegal,home,2059,Edouard Mendy,480,39.92632292,0.452258333,9,41.22644444,0.313666667,8,40.071875,0.19475,1,50.463,1.265,9,41.22644444,0.313666667,8,40.071875,0.19475,1,50.463,1.265,3812_372,8,0,8,0.10281358,0.10281358,0,0,0,0,0,0,0,1
3812,372,Senegal,home,214,Nampalys Mendy,480,11.44699792,4.078664583,114,16.08417544,5.922350877,46,16.61078261,6.0255,68,15.72794118,5.852573529,110,16.04828182,5.745627273,46,16.61078261,6.0255,64,15.64398438,5.54446875,3812_372,11,0,11,0.40722945,0.40722945,0,0,0,0,0,0,0,1
3812,372,Senegal,home,3848,Abdou Diallo,333,13.73694895,18.19502703,53,13.98760377,21.13537736,17,14.64170588,20.48441176,36,13.67872222,21.44277778,52,13.60863462,20.97196154,17,14.64170588,20.48441176,35,13.10685714,21.20877143,3812_372,4.236838729,0,4.236838729,0.072195865,0.072195865,0,0,0,0,0,0,0,1
3812,372,Senegal,home,3858,Idrissa Gueye,480,1.779029167,4.535954167,137,0.640036496,4.503875912,55,-1.911163636,1.963109091,82,2.351207317,6.20804878,129,0.70451938,4.395937984,55,-1.911163636,1.963109091,74,2.648608108,6.204121622,3812_372,14.82063164,0.102270754,14.71836089,0.149944088,0.148829662,0.001114426,0,0,0,0,0,0,1
3812,372,Senegal,home,3895,Ismail Jakobs,147,17.25085714,16.45511565,19,23.04573684,20.97321053,10,22.0954,21.4584,9,24.10166667,20.43411111,19,23.04573684,20.97321053,10,22.0954,21.4584,9,24.10166667,20.43411111,3812_372,6.258514269,0,6.258514269,0.121210749,0.121210749,0,0,0,0,0,0,0,0
3812,372,Senegal,home,3903,Krépin Diatta,374,-0.820489305,-12.97427273,99,-2.763161616,-18.72542424,38,-0.232184211,-19.55278947,61,-4.339836066,-18.21001639,95,-2.762368421,-18.71187368,38,-0.232184211,-19.55278947,57,-4.449157895,-18.15126316,3812_372,9.271832596,2.712925554,6.558907042,0.046057924,0.038652005,0.007405919,0,0,0,0,0,0,1
3812,372,Senegal,home,3978,Pape Gueye,106,10.2415566,-6.511915094,33,12.62209091,-11.98181818,17,13.86088235,-12.68064706,16,11.305875,-11.2393125,32,12.6481875,-12.26828125,17,13.86088235,-12.68064706,15,11.2738,-11.80093333,3812_372,5,0,5,0.0729296,0.0729296,0,0,0,0,0,0,0,0
3812,372,Senegal,home,3996,Bamba Dieng,113,-4.586575221,-1.159849558,40,-8.9617,-0.025975,15,-7.219266667,-0.328733333,25,-10.00716,0.15568,39,-8.918179487,0.49925641,15,-7.219266667,-0.328733333,24,-9.98,1.01675,3812_372,2.602563031,1.828515348,0.774047683,0.002758953,0.001818053,0.0009409,0,0,0,0,0,0,0
