match_id,match_name,defending_team,defending_team_name,defender_id,defender_name,match_team_id,overall_position,most_common_position,mins_played,starter,passes_against,passes_defended,raw_involvement,valued_involvement,raw_fault,valued_fault,raw_contribution,valued_contribution,raw_involvement_per90,valued_involvement_per90,raw_fault_per90,valued_fault_per90,raw_contribution_per90,valued_contribution_per90,raw_involvement_per_pass_against,valued_involvement_per_pass_against,raw_fault_per_pass_against,valued_fault_per_pass_against,raw_contribution_per_pass_against,valued_contribution_per_pass_against,raw_involvement_per_pass_defended,valued_involvement_per_pass_defended,raw_fault_per_pass_defended,valued_fault_per_pass_defended,raw_contribution_per_pass_defended,valued_contribution_per_pass_defended,passes_defended_per90,passes_defended_per_pass_against,overall_rating,defending_rating,def_awareness_rating,interceptions_rating,passes_against_on_field,raw_involvement_per_pass_against_onfield,valued_involvement_per_pass_against_onfield,raw_fault_per_pass_against_onfield,valued_fault_per_pass_against_onfield,raw_contribution_per_pass_against_onfield,valued_contribution_per_pass_against_onfield,passes_defended_per_pass_against_onfield
10512,Morocco vs Portugal,365,Portugal,1907,Vitinha,10512_365,Midfield,Left Center Midfield,30,0,248,9,3.202381509,0.011082579,3.011722827,0.011056083,0.190658681,2.65e-05,9.607144527,0.033247737,9.035168482,0.03316825,0.571976044,7.95e-05,1.291282866,0.004468782,1.214404366,0.004458098,0.076878501,1.07e-05,35.58201677,0.123139767,33.46358697,0.122845369,2.118429793,0.000294398,27.0,3.629032258,67.0,51.0,51.0,53.0,38,8.427319760526315,0.029164681578947367,7.925586386842105,0.029094955263157894,0.5017333710526315,6.973684210526315e-05,23.684210526315788
10512,Morocco vs Portugal,365,Portugal,2066,Ruben Dias,10512_365,Back,Left Center Back,98,1,248,37,19.41479314,0.134004319,8.591746292,0.058911568,10.82304685,0.075092751,17.82991207,0.123065191,7.890379247,0.054102461,9.939532824,0.06896273,7.828545623,0.054034,3.464413827,0.023754665,4.364131795,0.030279335,52.4724139,0.362173836,23.22093592,0.159220455,29.25147798,0.20295338,33.97959184,14.91935484,87.0,88.0,90.0,85.0,234,8.296920145299145,0.057266802991452995,3.6716864495726496,0.025175883760683762,4.625233696581197,0.03209091923076923,15.81196581196581
10512,Morocco vs Portugal,365,Portugal,4666,Raphaël Guerreiro,10512_365,Back,Left Back,50,1,248,25,12.45509018,0.055463762,10.51507418,0.05162085,1.940015996,0.003842912,22.41916232,0.099834772,18.92713353,0.09291753,3.492028793,0.006917242,5.022213782,0.02236442,4.239949268,0.020814859,0.782264515,0.001549561,49.82036072,0.221855049,42.06029673,0.2064834,7.760063984,0.015371649,45.0,10.08064516,84.0,76.0,79.0,83.0,166,7.503066373493976,0.03341190481927711,6.334382036144577,0.03109689759036145,1.168684334939759,0.0023150072289156625,15.060240963855422
10512,Morocco vs Portugal,365,Portugal,6020,Cristiano Ronaldo,10512_365,Forward,Center Forward,48,0,248,17,6.72796016,0.033253462,5.197171435,0.031912402,1.530788726,0.001341059,12.6149253,0.062350241,9.744696441,0.059835755,2.87022886,0.002514486,2.712887161,0.013408654,2.095633643,0.012867904,0.617253518,0.00054075,39.57623624,0.195608598,30.57159668,0.187720014,9.004639562,0.007888583,31.875,6.85483871,91.0,34.0,24.0,29.0,68,9.89405905882353,0.04890214999999999,7.642899169117647,0.04693000294117647,2.2511598911764708,0.001972145588235294,25.0
10512,Morocco vs Portugal,365,Portugal,8008,Goncalo Ramos,10512_365,Back,Right Back,68,1,248,46,22.00012877,0.086511025,14.65339066,0.061119731,7.346738111,0.025391294,29.11781749,0.114499886,19.39419352,0.080893761,9.723623971,0.033606124,8.871019666,0.034883478,5.908625266,0.024645053,2.9623944,0.010238425,47.82636689,0.188067445,31.85519709,0.13286898,15.97116981,0.055198465,60.88235294,18.5483871,72.0,33.0,29.0,31.0,196,11.22455549489796,0.044138278061224494,7.476219724489795,0.031183536224489793,3.7483357709183673,0.012954741836734694,23.46938775510204
10512,Morocco vs Portugal,365,Portugal,8538,Diogo Costa,10512_365,Goalkeeper,Goalkeeper,98,1,248,5,4.80660804,0.041450782,0.0,0.0,4.80660804,0.041450782,4.414231874,0.038067045,0.0,0.0,4.414231874,0.038067045,1.938148403,0.016714025,0.0,0.0,1.938148403,0.016714025,96.13216081,0.829015641,0.0,0.0,96.13216081,0.829015641,4.591836735,2.016129032,73.0,15.0,19.0,18.0,234,2.0541060000000004,0.0177140094017094,0.0,0.0,2.0541060000000004,0.0177140094017094,2.1367521367521367
10512,Morocco vs Portugal,365,Portugal,8555,Otavio,10512_365,Midfield,Left Center Midfield,68,1,248,61,33.4029153,0.134251532,20.37822964,0.090250164,13.02468565,0.044001368,44.20974083,0.177685851,26.97118629,0.119448747,17.23855454,0.058237105,13.46891746,0.054133682,8.217028081,0.036391195,5.251889377,0.017742487,54.75887753,0.220084479,33.40693384,0.147951089,21.3519437,0.07213339,80.73529412,24.59677419,81.0,63.0,66.0,62.0,196,17.042303724489795,0.06849567959183674,10.39705593877551,0.046046002040816325,6.645247780612245,0.022449677551020408,31.122448979591837
10512,Morocco vs Portugal,365,Portugal,8564,Pepe,10512_365,Back,Right Center Back,98,1,248,35,20.50335997,0.129800934,6.525761918,0.037254792,13.97759805,0.092546142,18.8296163,0.119204939,5.993046659,0.034213584,12.83656964,0.084991355,8.267483858,0.052339086,2.631355612,0.015022094,5.636128246,0.037316993,58.58102848,0.37085981,18.64503405,0.106442263,39.93599443,0.264417547,32.14285714,14.11290323,82.0,82.0,86.0,78.0,234,8.762119645299146,0.05547048461538461,2.7887871444444445,0.01592085128205128,5.9733325,0.039549633333333334,14.957264957264957
10512,Morocco vs Portugal,365,Portugal,8593,Rafael Leao,10512_365,Wing,Left Wing,30,0,248,9,5.590418823,0.019331234,4.590418823,0.009058144,1.0,0.01027309,16.77125647,0.057993702,13.77125647,0.027174432,3.0,0.03081927,2.254201138,0.007794852,1.850975332,0.003652477,0.403225806,0.004142375,62.1157647,0.214791488,51.00465359,0.100646044,11.11111111,0.114145444,27.0,3.629032258,77.0,27.0,22.0,24.0,38,14.711628481578948,0.05087166842105263,12.080049534210527,0.02383722105263158,2.631578947368421,0.027034447368421057,23.684210526315788
10512,Morocco vs Portugal,365,Portugal,11488,Ricardo Horta,10512_365,Wing,Right Wing,20,0,248,3,2.500523562,0.013035683,0.69604934,0.010647905,1.804474222,0.002387778,11.25235603,0.058660574,3.132222032,0.047915574,8.120133997,0.010745,1.00827563,0.005256324,0.280665057,0.00429351,0.727610573,0.000962814,83.3507854,0.434522768,23.20164468,0.354930176,60.14914072,0.079592593,13.5,1.209677419,79.0,42.0,32.0,55.0,18,13.891797566666666,0.0724204611111111,3.866940777777778,0.05915502777777777,10.024856788888888,0.013265433333333333,16.666666666666664
