metric,metric_family,node_metric,outcome,kind,min,min_sig,average,average_sig,sum,sum_sig,product,product_sig,r_range_trio,r_range_all,sig_flip_trio,sign_flip_trio
raw_involvement,Total Strength,raw_involvement,goals_against,raw,0.2803466141362663,**,0.28295736497418644,**,0.28295736497181734,**,0.25701101628965595,**,0.002610750837920117,0.025946348684530496,False,False
raw_involvement,Total Strength,raw_involvement,goals_against,partial,0.23505137399343023,**,0.2418728119932328,**,0.24187281198739102,**,0.19141133350559286,*,0.00682143799980256,0.05046147848763993,False,False
raw_involvement,Total Strength,raw_involvement,shots_against,raw,0.4920778494274687,***,0.49563314810601267,***,0.4956331480984053,***,0.48102916764971193,***,0.0035552986785439833,0.014603980456300736,False,False
raw_involvement,Total Strength,raw_involvement,shots_against,partial,0.25719080175315623,**,0.2619524905772129,**,0.26195249056385733,**,0.24557716086327974,**,0.004761688824056698,0.016375329713933184,False,False
raw_involvement,Total Strength,raw_involvement,xg_against,raw,0.4106564223627972,***,0.41309329442053316,***,0.4130932944319866,***,0.39575752222494454,***,0.002436872069189411,0.017335772207042077,False,False
raw_involvement,Total Strength,raw_involvement,xg_against,partial,0.3198062406425375,***,0.3264624448574144,***,0.3264624448763344,***,0.2894078195002473,***,0.006656204233796925,0.037054625376087114,False,False
raw_involvement_gini,Gini (strength inequality),raw_involvement,goals_against,raw,0.0657735039004912,,0.06408085404018216,,0.06408085403679167,,0.05702356846666797,,0.001692649863699533,0.008749935433823235,False,False
raw_involvement_gini,Gini (strength inequality),raw_involvement,goals_against,partial,0.03956337383278837,,0.03541401366012595,,0.03541401365934359,,0.034009711509272914,,0.004149360173444784,0.005553662323515458,False,False
raw_involvement_gini,Gini (strength inequality),raw_involvement,shots_against,raw,-0.0027597052020242787,,-0.0006011134285795272,,-0.0006011134270160305,,-0.0074690187690360545,,0.002158591775008248,0.006867905342020024,False,False
raw_involvement_gini,Gini (strength inequality),raw_involvement,shots_against,partial,-0.07934275787074252,,-0.08384984215126351,,-0.08384984214166033,,-0.07482494074015479,,0.00450708428052099,0.009024901411108718,False,False
raw_involvement_gini,Gini (strength inequality),raw_involvement,xg_against,raw,-0.04936437269467383,,-0.04816455159868762,,-0.04816455159004435,,-0.0519963443502285,,0.0011998211046294824,0.0038317927601841523,False,False
raw_involvement_gini,Gini (strength inequality),raw_involvement,xg_against,partial,-0.09814481339707377,,-0.1011827853669072,,-0.10118278535289799,,-0.09484690251614397,,0.0030379719698334223,0.006335882850763225,False,False
raw_involvement_cc_weighted,Clustering (weighted),raw_involvement,goals_against,raw,-0.0027320437102848092,,-0.02612749215398949,,-0.026127492147107634,,0.0021374636448620336,,0.02339544844370468,0.028264955798851524,False,False
raw_involvement_cc_weighted,Clustering (weighted),raw_involvement,goals_against,partial,0.03783614489748491,,0.022744733894037417,,0.022744733910511912,,0.03314945012469492,,0.015091411003447491,0.015091411003447491,False,False
raw_involvement_cc_weighted,Clustering (weighted),raw_involvement,shots_against,raw,0.026011036259308246,,-0.005150366657390569,,-0.00515036674420799,,0.030452505222946326,,0.031161403003516237,0.035602871967154316,False,True
raw_involvement_cc_weighted,Clustering (weighted),raw_involvement,shots_against,partial,0.1401534472247046,,0.13061642221652855,,0.13061642214209523,,0.11843781198978884,,0.009537025082609368,0.021715635234915764,False,False
raw_involvement_cc_weighted,Clustering (weighted),raw_involvement,xg_against,raw,0.07152897910386098,,0.025358410793770603,,0.025358410759774047,,0.06359268010153793,,0.046170568344086935,0.046170568344086935,False,False
raw_involvement_cc_weighted,Clustering (weighted),raw_involvement,xg_against,partial,0.14317590250501544,,0.10993278379287177,,0.10993278377216986,,0.11803468605594956,,0.03324311873284558,0.03324311873284558,False,False
raw_involvement_centralization_weighted,Freeman Centralization (weighted),raw_involvement,goals_against,raw,0.1420660832516113,,0.13730214147339506,,0.13730214149562225,,0.12635172548117643,,0.004763941778216235,0.015714357770434867,False,False
raw_involvement_centralization_weighted,Freeman Centralization (weighted),raw_involvement,goals_against,partial,0.11259826881862091,,0.1053353812514541,,0.10533538127381582,,0.10146943353579191,,0.007262887567166809,0.011128835282829,False,False
raw_involvement_centralization_weighted,Freeman Centralization (weighted),raw_involvement,shots_against,raw,0.09168308246668049,,0.08636906538574847,,0.08636906539878215,,0.08212567629596651,,0.005314017080932015,0.009557406170713975,False,False
raw_involvement_centralization_weighted,Freeman Centralization (weighted),raw_involvement,shots_against,partial,0.010703699903661653,,-0.0024928898803737373,,-0.0024928898676988206,,0.015201027158518093,,0.01319658978403539,0.01769391703889183,False,True
raw_involvement_centralization_weighted,Freeman Centralization (weighted),raw_involvement,xg_against,raw,0.0749875393554778,,0.07100225880905377,,0.07100225888111095,,0.0642084627762915,,0.003985280546424039,0.010779076579186309,False,False
raw_involvement_centralization_weighted,Freeman Centralization (weighted),raw_involvement,xg_against,partial,0.023287994547784803,,0.014773387013212791,,0.014773387088654711,,0.021040698814983282,,0.008514607534572012,0.008514607534572012,False,False
raw_fault,Total Strength,raw_fault,goals_against,raw,0.27711901641163195,**,0.2765333707436075,**,0.27653337072400164,**,0.25194223672550564,**,0.0005856456876303096,0.025176779686126305,False,False
raw_fault,Total Strength,raw_fault,goals_against,partial,0.22270543129413134,*,0.2223237713721803,*,0.2223237713414345,*,0.181417221516749,*,0.0003816599526968445,0.041288209777382345,False,False
raw_fault,Total Strength,raw_fault,shots_against,raw,0.48179463114809057,***,0.4845695450560872,***,0.4845695450560985,***,0.4660344044158285,***,0.0027749139080079366,0.01853514064027001,False,False
raw_fault,Total Strength,raw_fault,shots_against,partial,0.24915770752499136,**,0.2528115704930402,**,0.2528115704918491,**,0.23395937494779817,**,0.0036538629680488433,0.018852195545242034,False,False
raw_fault,Total Strength,raw_fault,xg_against,raw,0.4056750159056769,***,0.4072116737330269,***,0.4072116737258008,***,0.3850439807671873,***,0.0015366578273500187,0.02216769296583959,False,False
raw_fault,Total Strength,raw_fault,xg_against,partial,0.30492091091520274,***,0.30789038270255353,***,0.3078903826912067,***,0.2707487451186538,**,0.002969471787350797,0.03714163758389971,False,False
raw_fault_gini,Gini (strength inequality),raw_fault,goals_against,raw,0.10607349789725379,,0.10343967946306647,,0.1034396794544356,,0.09320947620926166,,0.002633818442818181,0.012864021687992125,False,False
raw_fault_gini,Gini (strength inequality),raw_fault,goals_against,partial,0.0798085675294264,,0.07497770851874681,,0.07497770850715602,,0.06929136889621645,,0.004830859022270387,0.010517198633209948,False,False
