match_id,defending_team,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y
10514,364,home,3856,Leandro Paredes,201,-10.10912935,-3.358373134,64,-11.58392188,-5.87059375,33,-11.63015152,-6.187272727,31,-11.53470968,-5.533483871,62,-11.45983871,-5.529596774,33,-11.63015152,-6.187272727,29,-11.26603448,-4.781206897
10514,364,home,453,Alexis Mac Allister,248,-4.348241935,11.81525806,72,-2.152277778,15.81543056,30,-6.737966667,18.3558,42,1.123214286,14.00088095,71,-1.69215493,15.93029577,30,-6.737966667,18.3558,41,1.999902439,14.15553659
10514,364,home,4590,Exequiel Palacios,54,-14.59861111,-1.296851852,5,-6.4682,-6.2764,4,-14.97325,-4.36925,1,27.552,-13.905,5,-6.4682,-6.2764,4,-14.97325,-4.36925,1,27.552,-13.905
10514,364,home,5116,Cristian Romero,272,-17.92371691,-6.256132353,36,-21.38072222,-6.699583333,20,-19.25615,-7.3653,16,-24.0364375,-5.8674375,34,-21.32197059,-6.461882353,20,-19.25615,-7.3653,14,-24.27314286,-5.171285714
10514,364,home,68,Juan Foyth,24,-10.69754167,-20.62979167,5,-6.2904,-25.5082,3,-14.68233333,-25.10666667,2,6.2975,-26.1105,5,-6.2904,-25.5082,3,-14.68233333,-25.10666667,2,6.2975,-26.1105
10514,364,home,6895,Rodrigo de Paul,218,-7.677701835,-14.69449083,73,-11.81271233,-18.94319178,28,-13.53035714,-20.40975,45,-10.74395556,-18.03066667,70,-11.86982857,-18.93321429,28,-13.53035714,-20.40975,42,-10.76280952,-17.94885714
10514,364,home,8023,Lisandro Martinez,71,-14.07676056,8.083619718,4,-22.66,3.33325,2,-12.7905,6.208,2,-32.5295,0.4585,4,-22.66,3.33325,2,-12.7905,6.208,2,-32.5295,0.4585
10514,364,home,8025,Nicolas Tagliafico,272,-12.23492647,5.652136029,38,-8.203631579,7.342315789,16,-9.1323125,7.824125,22,-7.528227273,6.991909091,37,-7.412945946,7.446297297,16,-9.1323125,7.824125,21,-6.102952381,7.158428571
10514,364,home,8058,Paulo Dybala,54,7.658685185,-2.942722222,23,9.408869565,-0.244043478,11,0.762636364,5.358,12,17.33458333,-5.37925,23,9.408869565,-0.244043478,11,0.762636364,5.358,12,17.33458333,-5.37925
10514,371,away,100,Mateo Kovacic,202,4.384242574,-9.303920792,85,7.607976471,-11.08310588,30,9.3096,-9.067033333,55,6.679818182,-12.18278182,82,7.373109756,-10.80703659,30,9.3096,-9.067033333,52,6.255903846,-11.81088462
10514,371,away,13854,Dominik Livakovic,202,38.45187129,-0.865846535,3,40.53533333,-2.976666667,3,40.53533333,-2.976666667,,,,3,40.53533333,-2.976666667,3,40.53533333,-2.976666667,,,
10514,371,away,13858,Josip Juranovic,202,12.32725743,4.023524752,37,8.780189189,7.940378378,11,15.53227273,2.853545455,26,5.923538462,10.0925,36,8.009805556,7.89375,11,15.53227273,2.853545455,25,4.69992,10.11144
10514,371,away,13859,Mislav Orsic,110,-5.946018182,-17.8417,27,-5.038925926,-23.25640741,9,-1.878111111,-25.05077778,18,-6.619333333,-22.35922222,27,-5.038925926,-23.25640741,9,-1.878111111,-25.05077778,18,-6.619333333,-22.35922222
10514,371,away,13860,Marko Livaja,56,-2.074017857,-5.767214286,31,-3.222032258,-8.520612903,11,-2.327,-10.073,20,-3.7143,-7.6668,31,-3.222032258,-8.520612903,11,-2.327,-10.073,20,-3.7143,-7.6668
10514,371,away,13861,Bruno Petkovic,100,-12.03123,-1.12848,40,-12.10645,-1.6054,10,-12.9854,-0.2252,30,-11.81346667,-2.065466667,40,-12.10645,-1.6054,10,-12.9854,-0.2252,30,-11.81346667,-2.065466667
10514,371,away,1687,Luka Modric,164,4.076426829,3.668097561,68,3.330647059,5.690779412,18,7.3705,8.494944444,50,1.8763,4.68128,66,3.402181818,6.573166667,18,7.3705,8.494944444,48,1.9140625,5.8525
10514,371,away,40,Dejan Lovren,202,14.74463366,3.162118812,32,12.35578125,6.33965625,12,13.55625,5.44775,20,11.6355,6.8748,31,11.66903226,6.352677419,12,13.55625,5.44775,19,10.47710526,6.924210526
10514,371,away,4883,Andrej Kramaric,146,-8.489547945,-5.485630137,67,-8.134940299,-6.610746269,24,-3.550541667,-6.964166667,43,-10.69367442,-6.413488372,66,-8.205651515,-6.329151515,24,-3.550541667,-6.964166667,42,-10.86571429,-5.966285714
10514,371,away,4892,Josko Gvardiol,202,11.5615297,0.329450495,52,10.57780769,3.188346154,17,8.040823529,2.405588235,35,11.81005714,3.568542857,50,10.15736,3.84258,17,8.040823529,2.405588235,33,11.24769697,4.582848485
10514,371,away,4926,Borna Sosa,92,11.54570652,-18.42782609,11,3.312363636,-23.53154545,4,14.29075,-22.88425,7,-2.961,-23.90142857,11,3.312363636,-23.53154545,4,14.29075,-22.88425,7,-2.961,-23.90142857
10514,371,away,5968,Lovro Majer,38,4.620815789,-1.596973684,24,3.958916667,-2.824208333,11,1.353909091,-2.924909091,13,6.163153846,-2.739,23,2.948086957,-3.254956522,11,1.353909091,-2.924909091,12,4.409416667,-3.5575
10514,371,away,6019,Nikola Vlasic,110,0.327636364,11.86199091,29,2.016586207,16.25848276,11,11.23118182,14.55090909,18,-3.614555556,17.302,28,1.07825,16.37739286,11,11.23118182,14.55090909,17,-5.491294118,17.55923529
10514,371,away,8129,Marcelo Brozovic,102,7.975196078,-2.961519608,45,9.301088889,-2.704022222,14,15.74857143,-4.8845,31,6.389322581,-1.719290323,45,9.301088889,-2.704022222,14,15.74857143,-4.8845,31,6.389322581,-1.719290323
10514,371,away,8136,Ivan Perisic,202,5.240569307,-19.70020297,54,9.361074074,-22.13301852,16,14.432,-24.768,38,7.225947368,-21.02355263,51,9.159921569,-22.24188235,16,14.432,-24.768,35,6.749828571,-21.08708571
10514,371,away,8330,Mario Pasalic,92,6.611532609,7.845195652,34,8.284352941,4.664735294,12,7.707166667,2.701333333,22,8.599181818,5.735681818,34,8.284352941,4.664735294,12,7.707166667,2.701333333,22,8.599181818,5.735681818
10515,363,home,113,Olivier Giroud,155,4.027858065,0.313987097,51,7.063588235,-2.23445098,18,1.487555556,-1.2995,33,10.10506061,-2.744424242,51,7.063588235,-2.23445098,18,1.487555556,-1.2995,33,10.10506061,-2.744424242
10515,363,home,1532,Ousmane Dembele,184,-4.090369565,-18.78986957,40,-0.36355,-24.437525,17,-7.044352941,-23.77870588,23,4.574434783,-24.92447826,39,0.437948718,-24.27025641,17,-7.044352941,-23.77870588,22,6.219727273,-24.65009091
10515,363,home,1534,Antoine Griezmann,229,-4.225165939,-7.285742358,70,-1.992728571,-10.34831429,34,-5.908323529,-10.32447059,36,1.705333333,-10.37083333,69,-1.62642029,-10.0872029,34,-5.908323529,-10.32447059,35,2.533142857,-9.856714286
10515,363,home,1675,Raphael Varane,229,-19.13702183,-4.747279476,7,-16.132,-2.080428571,4,-14.05525,-4.8855,3,-18.901,1.659666667,7,-16.132,-2.080428571,4,-14.05525,-4.8855,3,-18.901,1.659666667
10515,363,home,1789,Jules Kounde,229,-15.97371616,-15.31694323,20,-16.71355,-21.21145,11,-22.48372727,-20.83372727,9,-9.661111111,-21.67311111,19,-15.79263158,-20.76447368,11,-22.48372727,-20.83372727,8,-6.592375,-20.66925
