player_name,team,mins_played
Saša Lukić,Serbia,261
Enner Remberto Valencia Lastra,Ecuador,260
Ben Davies,Wales,260
Celso Borges Mora,Costa Rica,259
Marko Livaja,Croatia,258
Youssouf Fofana,France,257
Aïssa Bilal Laïdouni,Tunisia,255
Przemysław Frankowski,Poland,254
Mohammed Kudus,Ghana,254
Jakub Kamiński,Poland,253
Strahinja Pavlović,Serbia,252
Kieffer Roberto Francisco Moore,Wales,251
Kyle Walker,England,250
David Raum,Germany,249
Kendall Jamaal Waston Manley,Costa Rica,249
Ehsan Hajsafi,Iran,249
Lautaro Javier Martínez,Argentina,248
Teun Koopmeiners,Netherlands,248
Darwin Gabriel Núñez Ribeiro,Uruguay,247
Gareth Frank Bale,Wales,247
Sergej Milinković-Savić,Serbia,241
Craig Goodwin,Australia,241
Krystian Bielik,Poland,239
Saeid Ezatolahi Afagh,Iran,239
William Silva de Carvalho,Portugal,236
Ali Albulayhi,Saudi Arabia,236
Marco Asensio Willemsen,Spain,236
Xherdan Shaqiri,Switzerland,233
Rasmus Nissen Kristensen,Denmark,233
Ritsu Doan,Japan,232
Almoez Ali Zainalabiddin Abdulla,Qatar,231
Rodrigo Bentancur Colmán,Uruguay,230
Milos Veljkovic,Serbia,228
Kieran Trippier,England,227
Michael Steveen Estrada Martínez,Ecuador,225
Ferrán Torres García,Spain,225
Saleh Khalid Al Shehri,Saudi Arabia,223
Bryan Mbeumo,Cameroon,223
Ahmad Nourollahi,Iran,223
Shogo Taniguchi,Japan,221
Bruno Petković,Croatia,220
Steven Berghuis,Netherlands,219
Steven Bergwijn,Netherlands,219
Thomas Meunier,Belgium,216
Connor Roberts,Wales,215
Neco Williams,Wales,215
Jesper Lindstrøm,Denmark,213
Ali Abdi,Tunisia,213
Abdul Rahman Baba,Ghana,213
Jae-Sung Lee,South Korea,211
Milad Mohammadi,Iran,211
Andrija Živković,Serbia,210
Guillermo Varela Olivera,Uruguay,210
Abdulelah Al Amri,Saudi Arabia,210
Yuto Nagatomo,Japan,209
Ali Gholizadeh,Iran,209
Hassan Khalid Al Heidos,Qatar,208
Kingsley Coman,France,207
Abdulaziz Hatem Mohammed Abdullah,Qatar,207
Takehiro Tomiyasu,Japan,206
Matías Vecino Falero,Uruguay,205
Mason Mount,England,205
Randal Kolo Muani,France,204
Álvaro Borja Morata Martín,Spain,203
Miloš Degenek,Australia,202
Alex Sandro Lobo Silva,Brazil,202
Wayne Hennessey,Wales,202
Jonathan David,Canada,201
Ramin Rezaeian,Iran,201
Davy Klaassen,Netherlands,200
Sebastián Coates Nión,Uruguay,200
Achraf Dari,Morocco,200
Hassan Mohammed Al-Tambakti,Saudi Arabia,200
Thomas Müller,Germany,200
André Ayew Pelé,Ghana,198
Leandro Daniel Paredes,Argentina,196
Marten de Roon,Netherlands,196
Otávio Edmilson da Silva Monteiro,Portugal,196
Karim Boudiaf,Qatar,196
Nikola Vlašić,Croatia,196
Devis Rogers Epassy Mboka,Cameroon,196
Issam Jebali,Tunisia,195
Francisco Javier Calvo Quesada,Costa Rica,194
Ernesto Alexis Vega Rojas,Mexico,193
Mislav Oršić,Croatia,193
Sardar Azmoun,Iran,193
Meshaal Aissa Barsham,Qatar,192
Jean-Charles Castelletto,Cameroon,192
Nicolas Alexis Julio N'Koulou Ndoubena,Cameroon,192
Facundo Pellistri Rebollo,Uruguay,191
Nico Elvedi,Switzerland,191
Jhegson Sebastián Méndez Carabalí,Ecuador,191
Filip Kostić,Serbia,190
Takuma Asano,Japan,190
Kaoru Mitoma,Japan,190
İlkay Gündoğan,Germany,189
Abdulelah Saad Hameed Al-Malki,Saudi Arabia,187
Seyed Hossein Hosseini,Iran,186
Marcus Thuram,France,184
Edson Omar Álvarez Velázquez,Mexico,182
Jorge Eduardo Sánchez Ramos,Mexico,182
Krépin Diatta,Senegal,181
Ismaeel Mohammad Mohammad,Qatar,180
Daizen Maeda,Japan,180
Karl Brillant Toko Ekambi,Cameroon,176
Youssef Msakni,Tunisia,175
Ao Tanaka,Japan,175
Pape Gueye,Senegal,172
Gonçalo Matias Ramos,Portugal,171
Marcus Rashford,England,171
Leon Goretzka,Germany,171
Dylan Daniel Mahmoud Bronn,Tunisia,169
Kang-In Lee,South Korea,168
Daniel James,Wales,167
David Junior Hoilett,Canada,167
Héctor Miguel Herrera López,Mexico,166
Nicholas Williams Arthuer,Spain,166
Leander Dendoncker,Belgium,166
Harry Wilson,Wales,166
Edimilson Fernandes,Switzerland,165
Vincent Paté Aboubakar,Cameroon,165
Alidu Seidu,Ghana,165
Atiba Hutchinson,Canada,163
Mikkel Damsgaard,Denmark,162
Haji Wright,United States,162
Richie Laryea,Canada,162
Joshua Sargent,United States,161
Rodrygo Silva de Goes,Brazil,159
Assim Omer Al Haj Madibo,Qatar,159
Lovro Majer,Croatia,159
Raheem Sterling,England,159
Diego Roberto Godín Leal,Uruguay,158
Abdelhamid Sabiri,Morocco,158
Eduardo Camavinga,France,157
Luis Alberto Suárez Díaz,Uruguay,156
Frederico Rodrigues Santos,Brazil,154
Pathé Ismaël Ciss,Senegal,151
