match_id,match_name,defending_team,defending_team_name,defender_id,defender_name,player_name,player_x,player_y,player_id,node_size,starter
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Abdou Diallo,11.575,28.0998125,3848,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Bamba Dieng,32.263,22.314,3996,,0
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Boulaye Dia,31.785571428571426,18.845,7988,,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Cheikhou Kouyaté,-16.226166666666668,17.864166666666666,474,,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Edouard Mendy,-43.039,2.11375,2059,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Idrissa Gueye,12.662185185185185,21.251740740740743,3858,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Ismail Jakobs,8.254111111111111,31.008666666666663,3895,,0
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Ismaïla Sarr,11.13075,24.1417,428,,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Kalidou Koulibaly,-23.093,6.0445,9993,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Krépin Diatta,20.279999999999998,20.50877777777778,3903,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Nampalys Mendy,4.423100000000001,15.540300000000002,214,,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Pape Abou Cissé,-27.053800000000003,15.100399999999999,13901,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,8134,Denzel Dumfries,Youssouf Sabaly,19.913999999999998,-17.0635,13228,,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Abdou Diallo,4.138,26.907,3848,,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Bamba Dieng,7.03,-5.977666666666667,3996,,0
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Boulaye Dia,15.671,-8.905999999999999,7988,,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Cheikhou Kouyaté,9.447631578947368,-13.89878947368421,474,,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Edouard Mendy,-48.321,-5.901,2059,,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Idrissa Gueye,20.330920000000003,-10.62884,3858,,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Ismaïla Sarr,22.274,7.6868,428,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Kalidou Koulibaly,-13.4195,-14.808722222222222,9993,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Krépin Diatta,19.48722857142857,-24.092828571428573,3903,1.0,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Nampalys Mendy,19.772041666666667,-14.103250000000001,214,,1
3812,Senegal vs Netherlands,366,Netherlands,1522,Frenkie de Jong,Nicolas Jackson,18.4814,-20.2277,13055,,0
