match_team_id,match_id,defending_team,zone,block_spread,spread_x,spread_y,x_range,lateral_off,aspect_xy,hull_area,nn_dist,edge_cv,edge_mean,raw_involvement_edge_cv,raw_involvement_edge_mean,raw_fault_edge_cv,raw_fault_edge_mean,raw_contribution_edge_cv,raw_contribution_edge_mean,valued_involvement_edge_cv,valued_involvement_edge_mean,valued_contribution_edge_cv,valued_contribution_edge_mean,valued_fault_edge_cv,valued_fault_edge_mean
3812_366,3812,366,high_press,17.96079587311421,14.62882919037881,10.420534771037296,60.86554310998736,1.7944846432739978,1.403846300771242,1304.4445513007963,9.345787349956055,0.4212992616939124,18.052063984383476,0.4212992616939124,18.052063984383476,0.4212992616939124,18.052063984383476,0.37666250953294933,19.713902119438746,0.4212992616939124,18.052063984383476,0.37666250953294933,19.713902119438746,0.4169243519633638,17.806025551450766
3812_366,3812,366,mid,14.072313266988209,11.004849976972032,8.770591637317919,44.65479075191401,2.2011613675934476,1.254744312817802,883.5507531141582,6.437011229683846,0.45138050196766594,17.88038687667155,0.45138050196766594,17.88038687667155,0.4029886101244773,16.290280765685004,0.4662455558549757,17.853730647088046,0.45138050196766594,17.88038687667155,0.4662455558549757,17.853730647088046,0.4029886101244773,16.290280765685004
3812_366,3812,366,own,12.168273207678975,9.71068496342794,7.33276689918427,36.18059903961585,1.459145582834339,1.324286602443097,639.7005636459407,5.7329926156064746,0.46656495572626716,14.396687115556047,0.46656495572626716,14.396687115556047,0.479227117399283,14.269407236321202,0.4234280558122165,14.23809175705206,0.46951101881528284,14.424331851130137,0.4234280558122165,14.23809175705206,0.4827588990644085,14.374508658681785
3812_372,3812,372,high_press,18.35307134753457,14.721976647745104,10.958952115551115,60.32413894736842,0.12683262465404704,1.3433744843956505,1377.778184115726,6.881419856522145,0.3744953481346493,18.947113534761268,0.3744953481346493,18.947113534761268,0.3744953481346493,18.947113534761268,0.3715397904406518,19.82815767688339,0.3744953481346493,18.947113534761268,0.3715397904406518,19.82815767688339,0.37747705704696766,18.81224526857574
3812_372,3812,372,mid,15.347129584027854,11.273640750458508,10.413424542317687,45.51028560110913,1.0541673141995231,1.0826064667434911,988.0191459070647,5.99783366767009,0.3695104270084779,18.12260928017403,0.3695104270084779,18.12260928017403,0.3695104270084779,18.12260928017403,0.3360029040801382,15.642041593372392,0.36043268319746774,17.88777463004175,0.3360029040801382,15.642041593372392,0.3631380745986394,17.882250178550663
3812_372,3812,372,own,13.625983576752065,9.327204327926358,9.933312028675472,35.06215351170568,0.6339241317381263,0.9389823153647643,791.5911473664178,7.124945007688351,0.36267772768387313,15.68560819759662,0.36267772768387313,15.68560819759662,0.3637887591811007,15.36369096931251,0.4013167258507269,14.816951305662737,0.36267772768387313,15.68560819759662,0.4013167258507269,14.816951305662737,0.3637887591811007,15.36369096931251
3813_50,3813,50,high_press,17.814905685927574,15.461638277583228,8.849215014433076,61.28097857142858,0.7520985893992127,1.7472327491608335,1250.8350700500635,7.554639504248588,0.3986410184552422,18.520176252997807,0.3986410184552422,18.520176252997807,0.3986410184552422,18.520176252997807,0.37890159675006496,16.728965546340042,0.3986410184552422,18.520176252997807,0.37890159675006496,16.728965546340042,0.3986410184552422,18.520176252997807
3813_50,3813,50,mid,15.614193512360432,12.69396095603318,9.092106152489848,50.29412351805901,1.1922951070124963,1.396151864390296,1060.3062553712027,6.854248006619354,0.38706372676448997,17.570009573567347,0.38706372676448997,17.570009573567347,0.38373729795458195,17.499221459178965,0.35464007747963233,15.092566040094992,0.38706372676448997,17.570009573567347,0.35464007747963233,15.092566040094992,0.38373729795458195,17.499221459178965
3813_50,3813,50,own,13.307882326335145,10.4440130069191,8.24756475105761,38.71135897435897,0.34688643648018647,1.266314763467584,780.935981776926,5.851844651698639,0.38592688700964656,15.875832961250328,0.38592688700964656,15.875832961250328,0.39291128452745044,15.791172376105202,0.3788068791516094,12.831187275469938,0.38592688700964656,15.875832961250328,0.3788068791516094,12.831187275469938,0.39291128452745044,15.791172376105202
3813_373,3813,373,high_press,18.81134156760966,16.44533746509341,9.133315237769581,57.01308265027322,0.6777787108572418,1.800587961432225,1217.7282227802373,4.628299860188232,0.44735578560541994,15.720888309965009,0.44735578560541994,15.720888309965009,0.4463362834148104,15.547549142872121,0.474061201165184,13.226806077535825,0.44735578560541994,15.720888309965009,0.474061201165184,13.226806077535825,0.4463362834148104,15.547549142872121
