competition_name,competition_id,host,match_day,season_name,season_id,kickoff_time,match_id,event_vendor,tracking_vendor,match_title,home_team_name,home_team_id,guest_team_name,guest_team_id,result,country,stadium_id,stadium_name,precipitation,pitch_x,pitch_y,total_time_first_half,total_time_second_half,playing_time_first_half,playing_time_second_half,ds_parser_version,xg_tag,xg_sha1,xpass_tag,xpass_sha1,fps,match_string,slugified_match_string,Unnamed: 0,date,endPeriod1,endPeriod2,halfPeriod,homeTeamStartLeft,homeTeamStartLeftExtraTime,period1,period2,startPeriod1,startPeriod2,videoUrl,awayTeam.shortName,awayTeamKit.name,awayTeamKit.primaryColor,awayTeamKit.primaryTextColor,awayTeamKit.secondaryColor,awayTeamKit.secondaryTextColor,homeTeam.shortName,homeTeamKit.name,homeTeamKit.primaryColor,homeTeamKit.primaryTextColor,homeTeamKit.secondaryColor,homeTeamKit.secondaryTextColor,stadium.id,stadium.name,stadium.pitches
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),27,2023/2024,DFL-SEA-0001K7,2024-02-23T18:00:38.340+00:00,f0078f658b78da4fb8bed415124701db,sts,t160,Preußen Münster-MSV Duisburg,Preußen Münster,6b882ea28a76e846104725f3dc8be46d,MSV Duisburg,7ee2a280d267c8328c2b457c26b9b94e,3:1,Deutschland,DFL-STA-000N5Q,Preußenstadion,none,105.0,68.0,2825.84,3035.32,1554.2,1791.44,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 27.ST Preußen Münster - MSV Duisburg,3-liga-2023-2024-27-st-preussen-munster-msv-duisburg,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),26,2023/2024,DFL-SEA-0001K7,2024-02-18T15:31:00.150+00:00,b152801cf0ed3a823a01fb74439c5fb5,sts,t160,Erzgebirge Aue-Dynamo Dresden,Erzgebirge Aue,14690edff38b1f3ffe30c9bb4fe1b1f1,Dynamo Dresden,fdc330fe86a6516ece0108d724f7f9e9,2:1,Deutschland,DFL-STA-00000T,Erzgebirgsstadion,none,105.0,68.0,2893.92,3000.2,1701.68,1839.72,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 26.ST Erzgebirge Aue - Dynamo Dresden,3-liga-2023-2024-26-st-erzgebirge-aue-dynamo-dresden,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),22,2023/2024,DFL-SEA-0001K7,2024-01-23T18:00:34.210+00:00,e306fb80a77f83b07bb3d3744ab52c9b,sts,t160,VfB Lübeck-TSV 1860 München,VfB Lübeck,96e772fb4b03135ce6fb162c8c4b3ab5,TSV 1860 München,6b9cc3f277069e6166c375de4f1e334f,1:1,Deutschland,DFL-STA-000N6K,Stadion Lohmühle,none,105.0,68.0,2801.56,3100.84,1606.72,1711.0,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 22.ST VfB Lübeck - TSV 1860 München,3-liga-2023-2024-22-st-vfb-lubeck-tsv-1860-munchen,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),32,2023/2024,DFL-SEA-0001K7,2024-04-06T12:03:09.400+00:00,1e66c3532f4d44a4e2433e8d3ba133c7,sts,t160,Erzgebirge Aue-SC Freiburg II,Erzgebirge Aue,14690edff38b1f3ffe30c9bb4fe1b1f1,SC Freiburg II,9ca1c56acbd6536d3ff68137a5c40cd1,2:1,Deutschland,DFL-STA-00000T,Erzgebirgsstadion,none,105.0,68.0,2761.2,3034.64,1781.28,1767.76,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 32.ST Erzgebirge Aue - SC Freiburg II,3-liga-2023-2024-32-st-erzgebirge-aue-sc-freiburg-ii,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),30,2023/2024,DFL-SEA-0001K7,2024-03-16T13:00:21.310+00:00,42c604f9f7853163a916d798641943cb,sts,t160,Erzgebirge Aue-Viktoria Köln,Erzgebirge Aue,14690edff38b1f3ffe30c9bb4fe1b1f1,Viktoria Köln,e1c2952d381f859e4e5921cfaabdb76a,2:1,Deutschland,DFL-STA-00000T,Erzgebirgsstadion,none,105.0,68.0,2893.72,3028.16,1736.4,1549.92,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 30.ST Erzgebirge Aue - Viktoria Köln,3-liga-2023-2024-30-st-erzgebirge-aue-viktoria-koln,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),38,2023/2024,DFL-SEA-0001K7,2024-05-18T11:31:12.590+00:00,1739ace864cbfa010e6f28fa3cb87231,sts,t160,Dynamo Dresden-MSV Duisburg,Dynamo Dresden,fdc330fe86a6516ece0108d724f7f9e9,MSV Duisburg,7ee2a280d267c8328c2b457c26b9b94e,4:0,Deutschland,DFL-STA-00000K,Rudolf-Harbig-Stadion,none,105.0,68.0,2937.24,2704.76,1790.04,1786.12,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 38.ST Dynamo Dresden - MSV Duisburg,3-liga-2023-2024-38-st-dynamo-dresden-msv-duisburg,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),30,2023/2024,DFL-SEA-0001K7,2024-03-16T13:03:21.710+00:00,61db996a3801abdf931c6fcf19790056,sts,t160,Dynamo Dresden-SSV Ulm 1846,Dynamo Dresden,fdc330fe86a6516ece0108d724f7f9e9,SSV Ulm 1846,0623496441dd1111280e2541625d6ff0,0:0,Deutschland,DFL-STA-00000K,Rudolf-Harbig-Stadion,none,105.0,68.0,2878.0,2999.04,1259.76,1586.64,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 30.ST Dynamo Dresden - SSV Ulm 1846,3-liga-2023-2024-30-st-dynamo-dresden-ssv-ulm-1846,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),37,2023/2024,DFL-SEA-0001K7,2024-05-11T12:03:09.560+00:00,b70fc5dcadc117d9e70061323f37d4c5,sts,t160,Arminia Bielefeld-Hallescher FC,Arminia Bielefeld,c6ed81e07bcb710e1388ea8865eb5314,Hallescher FC,84b863dec80591cf5acc4e0f37e89e79,0:0,Deutschland,DFL-STA-00001A,SchücoArena,none,105.0,68.0,2824.76,2994.68,1705.2,1632.24,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 37.ST Arminia Bielefeld - Hallescher FC,3-liga-2023-2024-37-st-arminia-bielefeld-hallescher-fc,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),21,2023/2024,DFL-SEA-0001K7,2024-01-21T15:32:46.610+00:00,2a9ca07fa66836f6ba9f3403c74593d0,sts,t160,SSV Ulm 1846-SpVgg Unterhaching,SSV Ulm 1846,0623496441dd1111280e2541625d6ff0,SpVgg Unterhaching,c7b620f4d20b4e83e628e04faec67662,2:0,Deutschland,DFL-STA-J002CV,Centus Arena,none,105.0,68.0,2897.84,3058.4,1664.48,1542.76,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 21.ST SSV Ulm 1846 - SpVgg Unterhaching,3-liga-2023-2024-21-st-ssv-ulm-1846-spvgg-unterhaching,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Liga,5bf16b04979479e6de79d47c856cfb38,Deutscher Fußball-Bund (DFB),36,2023/2024,DFL-SEA-0001K7,2024-05-04T12:00:22.540+00:00,ae641111074a2b8ca08e78518cbfeb0d,sts,t160,SC Freiburg II-Jahn Regensburg,SC Freiburg II,9ca1c56acbd6536d3ff68137a5c40cd1,Jahn Regensburg,5555ad87fcd59404d20c2db6cef9317b,3:1,Deutschland,DFL-STA-000009,Dreisamstadion,none,100.0,68.0,2763.96,3031.28,1781.6,1364.28,2.4.1.post15+g651a99a,mens23v2,4bf4bb216249698c183532f4bcfd4bffc34682c6,mens23v2,63737eba1ded671ba581cae5dee3e1b79f670bd1,25.0,3. Liga 2023/2024: 36.ST SC Freiburg II - Jahn Regensburg,3-liga-2023-2024-36-st-sc-freiburg-ii-jahn-regensburg,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,
