match_id,defending_team,team_name,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y,match_team_id
10506,57,Japan,home,10704,Kaoru Mitoma,339,-1.3582566371681417,-6.708545722713865,59.0,-11.304203389830509,-11.63898305084746,26.0,-10.065615384615386,-11.613807692307692,33.0,-12.280060606060607,-11.658818181818182,56.0,-10.601571428571429,-12.113285714285714,26.0,-10.065615384615386,-11.613807692307692,30.0,-11.066066666666666,-12.546166666666666,10506_57
10506,57,Japan,home,11841,Hidemasa Morita,670,-7.252141791044776,-4.516762686567165,167.0,-10.48137125748503,-7.7610059880239515,57.0,-9.27942105263158,-10.435368421052631,110.0,-11.1042,-6.3752,161.0,-9.96039751552795,-7.5782360248447205,57.0,-9.27942105263158,-10.435368421052631,104.0,-10.333625,-6.012307692307692,10506_57
10506,57,Japan,home,13797,Shogo Taniguchi,768,-14.19708984375,-10.04878515625,65.0,-19.448553846153846,-13.5042,24.0,-19.393833333333333,-15.27125,41.0,-19.480585365853656,-12.469829268292683,62.0,-18.751274193548387,-13.503596774193548,24.0,-19.393833333333333,-15.27125,38.0,-18.345447368421056,-12.387184210526316,10506_57
10506,57,Japan,home,13798,Yuto Nagatomo,429,-16.263433566433566,-17.21415850815851,61.0,-21.573918032786885,-21.487229508196723,25.0,-23.517599999999998,-20.41104,36.0,-20.224138888888888,-22.234583333333333,57.0,-21.50817543859649,-21.397684210526315,25.0,-23.517599999999998,-20.41104,32.0,-19.9383125,-22.1685,10506_57
10506,57,Japan,home,13799,Shuichi Gonda,768,-39.90939322916667,0.35641796875,42.0,-32.05983333333333,-0.3378333333333333,21.0,-35.44742857142857,-0.4352380952380952,21.0,-28.672238095238093,-0.2404285714285714,41.0,-32.16141463414634,-0.33785365853658533,21.0,-35.44742857142857,-0.4352380952380952,20.0,-28.7111,-0.23559999999999998,10506_57
10506,57,Japan,home,13802,Daizen Maeda,429,3.8827179487179486,-0.19654079254079249,213.0,4.654643192488263,0.3003708920187795,80.0,5.40625,-0.32037499999999974,133.0,4.202548872180451,0.6737518796992482,211.0,4.914279620853081,0.39293364928909963,80.0,5.40625,-0.32037499999999974,131.0,4.613839694656488,0.8285419847328246,10506_57
10506,57,Japan,home,2087,Takehiro Tomiyasu,768,-12.669915364583334,7.364317708333334,79.0,-9.425189873417722,11.161088607594937,35.0,-6.549171428571428,8.767199999999999,44.0,-11.712931818181818,13.065318181818183,77.0,-8.806545454545455,11.057194805194806,35.0,-6.549171428571428,8.767199999999999,42.0,-10.687690476190475,12.96552380952381,10506_57
10506,57,Japan,home,2088,Maya Yoshida,768,-15.115054687499999,2.551610677083333,76.0,-18.280618421052633,3.139486842105263,36.0,-20.454472222222222,2.629888888888889,40.0,-16.32415,3.5981249999999996,73.0,-17.980246575342466,3.085013698630137,36.0,-20.454472222222222,2.629888888888889,37.0,-15.572891891891892,3.5278378378378377,10506_57
10506,57,Japan,home,2090,Hiroki Sakai,285,-3.252178947368421,5.978961403508771,21.0,-13.663142857142857,9.783285714285714,10.0,-21.895400000000002,5.938000000000001,11.0,-6.179272727272728,13.278999999999998,19.0,-13.632736842105263,9.054526315789474,10.0,-21.895400000000002,5.938000000000001,9.0,-4.452000000000001,12.517333333333333,10506_57
10506,57,Japan,home,2094,Junya Ito,768,-5.446375,13.959548177083335,98.0,-8.130632653061225,8.38315306122449,44.0,-9.14325,6.8018409090909095,54.0,-7.305537037037038,9.67162962962963,96.0,-7.7430312500000005,8.590104166666666,44.0,-9.14325,6.8018409090909095,52.0,-6.55823076923077,10.103250000000001,10506_57
