match_id,defending_team,team_name,home_away,defender_id,defender_name,starter,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y,raw_involvement_self_inv,raw_fault_self_inv,raw_contribution_self_inv,valued_involvement_self_inv,valued_contribution_self_inv,valued_fault_self_inv,raw_responsibility_self_inv,raw_fault_r_self_inv,raw_contribution_r_self_inv,valued_responsibility_self_inv,valued_contribution_r_self_inv,valued_fault_r_self_inv
3812,366,Netherlands,away,11094,Cody Gakpo,1,384,-4.017776042,0.287875,113,-5.508256637,0.140026549,46,-7.726108696,-0.40973913,67,-3.985552239,0.517477612,111,-5.160873874,-0.438756757,46,-7.726108696,-0.40973913,65,-3.345476923,-0.459292308,6.899757926,1.852153782,5.047604144,0.08163165,0.07579447,0.00583718,0,0,0,0,0,0
3812,366,Netherlands,away,11241,Andries Noppert,1,410,-41.07779268,-0.364856098,4,-46.18475,-0.07875,4,-46.18475,-0.07875,,,,4,-46.18475,-0.07875,4,-46.18475,-0.07875,,,,3,0,3,0.0883847,0.0883847,0,0,0,0,0,0,0
3812,366,Netherlands,away,1522,Frenkie de Jong,1,410,-12.88599024,-8.692819512,113,-17.57841593,-15.86353097,48,-17.33422917,-15.80729167,65,-17.75873846,-15.90506154,110,-17.74788182,-15.69471818,48,-17.33422917,-15.80729167,62,-18.06812903,-15.60756452,7.231287836,0,7.231287836,0.072754812,0.072754812,0,0,0,0,0,0,0
3812,366,Netherlands,away,284,Nathan Aké,1,410,-19.28337317,-9.478321951,70,-24.952,-13.42038571,30,-24.48163333,-14.33773333,40,-25.304775,-12.732375,69,-24.93231884,-13.27915942,30,-24.48163333,-14.33773333,39,-25.279,-12.46487179,6.679178539,0,6.679178539,0.1071414,0.1071414,0,0,0,0,0,0,0
3812,366,Netherlands,away,3315,Vincent Janssen,1,271,3.542848708,7.971306273,44,4.58625,15.01131818,22,1.617090909,17.18031818,22,7.555409091,12.84231818,43,3.946186047,15.59851163,22,1.617090909,17.18031818,21,6.386190476,13.94138095,4.215114816,1.473033989,2.742080827,0.009097268,0.007219823,0.001877445,0,0,0,0,0,0
3812,366,Netherlands,away,37,Virgil van Dijk,1,410,-19.0685122,0.308353659,54,-20.57527778,-1.170481481,29,-18.56741379,0.358275862,25,-22.9044,-2.94384,54,-20.57527778,-1.170481481,29,-18.56741379,0.358275862,25,-22.9044,-2.94384,14.68601874,0.019299001,14.66671974,0.144158163,0.144012605,0.000145559,0,0,0,0,0,0
3812,366,Netherlands,away,8026,Daley Blind,1,410,-13.20799268,-17.29619268,111,-19.4817027,-22.93012613,48,-20.34379167,-22.6259375,63,-18.82487302,-23.16188889,107,-19.7837757,-22.83159813,48,-20.34379167,-22.6259375,59,-19.32816949,-22.99891525,6.658306578,1.597708796,5.060597782,0.128148544,0.113400296,0.014748248,0,0,0,0,0,0
3812,366,Netherlands,away,8033,Davy Klaassen,0,92,-4.360836957,-8.041847826,39,-4.240102564,-12.29176923,20,-6.86125,-13.2091,19,-1.481,-11.32615789,37,-2.594621622,-14.59318919,20,-6.86125,-13.2091,17,2.424941176,-16.22152941,1.835571178,0.280138052,1.555433125,0.023037944,0.022695534,0.00034241,0,0,0,0,0,0
3812,366,Netherlands,away,8034,Steven Berghuis,1,318,-11.09269182,3.27181761,95,-15.30521053,4.652389474,47,-16.56708511,7.237106383,48,-14.069625,2.121520833,93,-15.69630108,4.637967742,47,-16.56708511,7.237106383,46,-14.80658696,1.982326087,7.631983715,0,7.631983715,0.106341662,0.106341662,0,0,0,0,0,0,0
3812,366,Netherlands,away,8045,Matthijs De Ligt,1,410,-18.46877317,10.21926829,55,-20.69849091,17.99887273,27,-21.49481481,19.3097037,28,-19.93060714,16.73485714,53,-20.07539623,17.76218868,27,-21.49481481,19.3097037,26,-18.60138462,16.15515385,11.22109332,0.221093317,11,0.102182577,0.10147278,0.000709797,0,0,0,0,0,0
3812,366,Netherlands,away,8134,Denzel Dumfries,1,410,-11.31833659,15.80282683,69,-10.56218841,23.35227536,37,-13.40197297,22.82935135,32,-7.2786875,23.95690625,68,-11.02347059,23.21130882,37,-13.40197297,22.82935135,31,-8.184612903,23.66719355,7.677470869,0,7.677470869,0.070589308,0.070589308,0,0,0,0,0,0,0
3812,366,Netherlands,away,8326,Teun Koopmeiners,0,92,-9.398423913,2.145771739,25,-6.63272,5.90936,14,-0.515285714,3.389785714,11,-14.41854545,9.116090909,23,-4.307652174,4.229652174,14,-0.515285714,3.389785714,9,-10.20688889,5.536111111,4.266735321,0,4.266735321,0.025063577,0.025063577,0,0,0,0,0,0,0
3812,366,Netherlands,away,8327,Marten De Roon,0,26,-0.682961538,-9.972923077,4,-4.21925,-16.22325,3,-8.338,-14.311,1,8.137,-21.96,4,-4.21925,-16.22325,3,-8.338,-14.311,1,8.137,-21.96,0,0,0,0,0,0,0,0,0,0,0,0
3812,366,Netherlands,away,8342,Memphis Depay,0,139,5.759028777,-8.417338129,38,10.21197368,-15.22315789,19,5.697263158,-17.63752632,19,14.72668421,-12.80878947,38,10.21197368,-15.22315789,19,5.697263158,-17.63752632,19,14.72668421,-12.80878947,2.615256196,1.011228833,1.604027363,0.009042343,0.006423873,0.00261847,0,0,0,0,0,0
3812,366,Netherlands,away,84,Steven Bergwijn,1,318,5.103056604,-7.524380503,76,2.348934211,-13.83835526,31,-2.081096774,-16.24290323,45,5.400733333,-12.18188889,74,2.327027027,-13.77728378,31,-2.081096774,-16.24290323,43,5.504976744,-11.99974419,7.45758093,1.920667207,5.536913723,0.042005145,0.036056714,0.00594843,0,0,0,0,0,0
3812,372,Senegal,home,13055,Nicolas Jackson,0,106,1.554349057,-14.36967925,22,7.039727273,-19.63727273,10,6.109,-22.1252,12,7.815333333,-17.564,21,7.899238095,-19.4182381,10,6.109,-22.1252,11,9.526727273,-16.95736364,2.54134531,0.958357988,1.582987321,0.033577797,0.023443228,0.010134568,0,0,0,0,0,0
3812,372,Senegal,home,13228,Youssouf Sabaly,1,479,14.58248225,-14.83973904,72,13.036625,-20.97247222,34,16.76652941,-21.09029412,38,9.699342105,-20.86705263,69,13.72431884,-21.58668116,34,16.76652941,-21.09029412,35,10.76902857,-22.06888571,5.547450969,0,5.547450969,0.215698699,0.215698699,0,0,0,0,0,0,0
3812,372,Senegal,home,13901,Pape Abou Cissé,1,479,18.95863048,4.890561587,50,23.19982,8.52992,17,24.76388235,8.837,33,22.39409091,8.371727273,49,23.65706122,8.496510204,17,24.76388235,8.837,32,23.0690625,8.315625,4,0,4,0.09873908,0.09873908,0,0,0,0,0,0,0
3812,372,Senegal,home,2059,Edouard Mendy,1,479,39.9216096,0.452223382,9,41.22644444,0.313666667,8,40.071875,0.19475,1,50.463,1.265,9,41.22644444,0.313666667,8,40.071875,0.19475,1,50.463,1.265,8,0,8,0.10281358,0.10281358,0,0,0,0,0,0,0
3812,372,Senegal,home,214,Nampalys Mendy,1,479,11.45106054,4.083173278,115,15.99784348,6.004443478,47,16.38834043,6.224170213,68,15.72794118,5.852573529,111,15.95916216,5.83227027,47,16.38834043,6.224170213,64,15.64398438,5.54446875,11,0,11,0.40722945,0.40722945,0,0,0,0,0,0,0
