player,Nodes Degree_xt,Closeness_xt,Pagerank_xt,Betweenness_xt,Nodes Degree_base,Closeness_base,Pagerank_base,Betweenness_base,match_id,team,player_match_id,Sofascore Rating
Sergio Busquets i Burgos,8.131970137,0.115657815,0.036501817,0.025201613,131,1.876295276,0.033246823,0.025705645,3869220,Spain,Sergio Busquets_3869220,6.7
Enzo Fernandez,8.126367577,0.12536867,0.04412433,0.023185484,126,1.910984075,0.058175627,0.038810484,3869321,Argentina,Enzo Fernández_3869321,6.6
Achraf Hakimi Mouh,8.121500696,0.146653588,0.048488872,0.027093596,116,1.570041286,0.067050603,0.072044335,3869684,Morocco,Achraf Hakimi_3869684,6.5
Pierre-Emile Højbjerg,8.110325719,0.121316521,0.039358211,0.004597701,122,1.589157953,0.041983755,0,3857257,Denmark,Pierre-Emile Højbjerg_3857257,7
Akram Hassan Afif,8.076132152,0.129483435,0.049009314,0.022580645,136,1.84023284,0.074424503,0.113978495,3857294,Qatar,Akram Afif_3857294,7.3
Axel Witsel,8.064020133,0.132847255,0.055957121,0.02688172,142,1.475469521,0.05547487,0.052688172,3857283,Belgium,Axel Witsel_3857283,6.8
Raphaël Adelino José Guerreiro,8.057613548,0.137413671,0.055164181,0.061290323,137,1.540545233,0.063305038,0.087096774,3857298,Portugal,Raphaël Guerreiro_3857298,6.8
Eduardo Camavinga,8.014419039,0.139750977,0.044812604,0.02955665,132,2.181138346,0.058203811,0.076970443,3857275,France,Eduardo Camavinga_3857275,8.1
José Diogo Dalot Teixeira,8.013582999,0.132428106,0.045078822,0.022167488,108,1.673892862,0.05314223,0.043513957,3857262,Portugal,Diogo Dalot_3857262,7.4
Kevin De Bruyne,7.997263334,0.131906877,0.04171685,0.030788177,57,1.198519915,0.032430769,0.028325123,3857296,Belgium,Kevin De Bruyne_3857296,7.5
Leroy Sané,7.954836381,0.134011456,0.041602472,0.012903226,89,1.742037581,0.039168886,0.017204301,3857292,Germany,Leroy Sané_3857292,7
Sergej Milinković-Savić,7.952210536,0.138451126,0.051569343,0.021505376,64,1.014568158,0.052022225,0.027419355,3857258,Serbia,Sergej Milinković-Savić_3857258,6.8
Lucas Paquetá,7.940497805,0.144209204,0.052936345,0.017241379,107,1.45492228,0.051826107,0.051724138,3869253,Brazil,Lucas Paquetá_3869253,7.7
Lionel Andrés Messi Cuccittini,7.937789378,0.122433992,0.047315372,0.023185484,89,1.688367788,0.050350689,0.044858871,3869321,Argentina,Lionel Messi_3869321,9.1
Piotr Zieliński,7.929095032,0.136112415,0.05922513,0.042528736,117,1.618667227,0.068628673,0.089655172,3869152,Poland,Piotr Zieliński_3869152,6.6
Akram Hassan Afif,7.889657306,0.121384628,0.045149338,0.032183908,78,1.355487695,0.051705153,0.055172414,3857301,Qatar,Akram Afif_3857301,7
Casimiro,7.879441832,0.140370529,0.054654955,0.009195402,118,1.561647128,0.051985139,0.012643678,3869420,Brazil,Casemiro_3869420,7.2
Fabinho,7.871363746,0.137565043,0.044114073,0.00862069,90,1.450137767,0.042726907,0.032635468,3857280,Brazil,Fabinho_3857280,7
Yunus Dimoara Musah,7.866257863,0.138021018,0.051002622,0.018390805,82,1.459057072,0.044670861,0.028735632,3869117,United States,Yunus Musah_3869117,6.4
Manuel Obafemi Akanji,7.864934859,0.124272366,0.04607297,0.010752688,107,1.373016149,0.051617692,0.044623656,3869254,Switzerland,Manuel Akanji_3869254,6.8
Tyler Adams,7.849984724,0.130916706,0.048552994,0.012643678,112,1.464651802,0.051308017,0.073754789,3857282,United States,Tyler Adams_3857282,7.4
